date,symbol,direction,traded,entry_index,exit_index,entry_signal_close_minute,entry_minute,exit_signal_close_minute,exit_minute,exit_time_exact,entry_price,exit_price,pnl_points,gross_return,exit_reason,eod_flatten,unclosed,signal_minutes,execution_minutes,rule_id,net_return_pct
2026-06-11,US.MU,LONG,True,126,375,696,696,-1,945,True,914.829316042,987.558131685,72.72881564300008,0.0794998743127959,scheduled_flatten,True,False,1,1,f634ff0af0eb,7.9299874312795895
2026-06-05,US.MU,SHORT,True,108,375,678,678,-1,945,True,933.856290043,879.599733705,54.256556338,0.0580994708891468,scheduled_flatten,True,False,1,1,f634ff0af0eb,5.78994708891468
2026-07-30,US.MU,LONG,True,41,375,611,611,-1,945,True,827.6801,873.27,45.58989999999994,0.0550815466023647,scheduled_flatten,True,False,1,1,f634ff0af0eb,5.488154660236471
2026-08-28,US.NVDA,SHORT,True,95,375,665,665,-1,945,True,225.427753176,216.942248198,8.485504978000023,0.0376417936942088,scheduled_flatten,True,False,1,1,f634ff0af0eb,3.7441793694208805
2026-07-24,US.MU,SHORT,True,21,375,591,591,-1,945,True,941.68,913.86,27.819999999999936,0.0295429445246792,scheduled_flatten,True,False,1,1,f634ff0af0eb,2.9342944524679204
2026-08-13,US.TSLA,LONG,True,34,375,604,604,-1,945,True,332.1199,339.36,7.240100000000041,0.0217996572924418,scheduled_flatten,True,False,1,1,f634ff0af0eb,2.1599657292441803
2026-07-09,US.TSLA,LONG,True,128,375,698,698,-1,945,True,396.55,404.7,8.149999999999977,0.0205522632707098,scheduled_flatten,True,False,1,1,f634ff0af0eb,2.0352263270709803
2026-09-02,US.NVDA,LONG,True,29,324,599,599,894,894,True,219.903934162,224.089250919,4.185316756999981,0.0190324778542466,trailing,False,False,1,1,f634ff0af0eb,1.88324778542466
2026-06-30,US.TSLA,LONG,True,111,375,681,681,-1,945,True,415.21,422.845,7.635000000000048,0.018388285445919,scheduled_flatten,True,False,1,1,f634ff0af0eb,1.8188285445919001
2026-07-24,US.TSLA,SHORT,True,34,375,604,604,-1,945,True,316.0271,310.78,5.247100000000046,0.0166033229428743,scheduled_flatten,True,False,1,1,f634ff0af0eb,1.64033229428743
2026-08-04,US.QQQ,LONG,True,32,375,602,602,-1,945,True,713.83,725.49,11.659999999999968,0.0163344213608281,scheduled_flatten,True,False,1,1,f634ff0af0eb,1.61344213608281
2026-06-05,US.SPY,SHORT,True,25,375,595,595,-1,945,True,748.10317893,735.884649082,12.218529848000005,0.0163326800261375,scheduled_flatten,True,False,1,1,f634ff0af0eb,1.6132680026137503
2026-06-16,US.QQQ,SHORT,True,51,375,621,621,-1,945,True,739.826487689,731.575560399,8.25092729000005,0.0111525167418289,scheduled_flatten,True,False,1,1,f634ff0af0eb,1.09525167418289
2026-07-16,US.AAPL,LONG,True,53,375,623,623,-1,945,True,329.19608313,331.993670336,2.797587206000003,0.0084982396491492,scheduled_flatten,True,False,1,1,f634ff0af0eb,0.82982396491492
2026-07-20,US.IWM,SHORT,True,30,375,600,600,-1,945,True,294.72,293.015,1.705000000000041,0.0057851520086863,scheduled_flatten,True,False,1,1,f634ff0af0eb,0.55851520086863
2026-06-26,US.NVDA,LONG,True,120,375,690,690,-1,945,True,193.423564892,194.522335401,1.0987705089999906,0.0056806444944466,scheduled_flatten,True,False,1,1,f634ff0af0eb,0.54806444944466
2026-06-30,US.SPY,LONG,True,22,375,592,592,-1,945,True,742.93,747.139,4.20900000000006,0.0056654058928836,scheduled_flatten,True,False,1,1,f634ff0af0eb,0.54654058928836
2026-08-20,US.IWM,SHORT,True,30,375,600,600,-1,945,True,299.0,297.565,1.4350000000000025,0.0047993311036789,scheduled_flatten,True,False,1,1,f634ff0af0eb,0.45993311036789003
2026-07-07,US.QQQ,SHORT,True,39,375,609,609,-1,945,True,710.36,707.39,2.9700000000000277,0.0041809786587082,scheduled_flatten,True,False,1,1,f634ff0af0eb,0.39809786587082
2026-08-14,US.IWM,LONG,True,27,375,597,597,-1,945,True,304.08,304.98,0.9000000000000341,0.0029597474348856,scheduled_flatten,True,False,1,1,f634ff0af0eb,0.27597474348856
