id,trades,wins,losses,wins5,losses5,trade_dates,symbols,win_rate_pct,payoff_ratio,payoff5,robust_payoff,avg_win_pct,avg_loss_pct,profit_factor,mean_trade_pct,mean_job_bps,worst_stream_mdd_pct,cvar05_pct,sample_ok,score
1ee2ec9d8819,75,7,68,7,68,42,10,9.333333333333334,17.222753901847142,13.754431646931698,13.754431646931698,2.197995975056179,-0.12762163284586237,1.7729305487195584,0.08943601055832812,0.40407836095630184,-0.9495754834109027,-0.5417449681048796,True,2.9174997148506243
ec28b9b6e90d,67,8,59,8,59,41,10,11.940298507462687,15.259462442915336,12.142139483759461,12.142139483759461,1.929944248634596,-0.1264752448426275,2.0690796532766558,0.11906738124420517,0.48057316526275584,-0.7599353186030666,-0.5355243257180756,True,2.766809663619331
e95ff33b6780,103,11,92,11,92,49,10,10.679611650485437,13.669992571859101,10.936466762473371,10.936466762473371,1.7907796379715342,-0.13100077622997497,1.634455633591849,0.07423790878183663,0.46063280750175756,-1.4275734373044524,-0.4731589219029619,True,2.6472624312957582
2a783fa4edb8,97,10,87,10,87,48,10,10.309278350515465,13.252100493511126,10.707674414736383,10.707674414736383,1.8293077466503744,-0.13803907897816595,1.523229941782888,0.06478018139591035,0.3785347949038136,-1.4275734373044524,-0.6273705735822176,True,2.6303776784654818
a6139f7caac1,96,11,85,11,85,49,10,11.458333333333334,12.924142319948642,10.474574733841209,10.474574733841209,1.8162271303978628,-0.14052979961343232,1.6725360649345302,0.08368193195036192,0.48394370284546645,-1.4275734373044524,-0.6260602797323367,True,2.606932571727398
770924fd30e8,103,11,92,11,92,49,10,10.679611650485437,12.919810426812154,10.439154636092693,10.439154636092693,1.7873303087137686,-0.13834028903431644,1.544759942336236,0.06731385247276056,0.41767028943941825,-1.4275734373044524,-0.5861545198594713,True,2.6003376535119225
9699a5538e77,82,10,72,10,72,44,10,12.195121951219512,12.90992281318378,10.529660293036814,10.529660293036814,1.8760160677925315,-0.14531582372256474,1.793044835164414,0.10118806548659329,0.49984466083738877,-1.2112800830329284,-0.6286750427945007,True,2.6186555839610315
9fc655ce1828,103,11,92,11,92,49,10,10.679611650485437,12.786822507053305,10.350688026206058,10.350688026206058,1.7873303087137686,-0.13977908176389123,1.5288592127998515,0.0660287172191598,0.4096962574441843,-1.4275734373044524,-0.5861545198594713,True,2.591827041354192
acd7d6d20eb0,103,11,92,11,92,49,10,10.679611650485437,12.604760789822153,10.166599271068282,10.166599271068282,1.731866140511755,-0.13739777925100874,1.5070909640004748,0.06223234810229607,0.38614047316484923,-1.4275734373044524,-0.5861545198594713,True,2.5675771061749932
96ee0483eb7c,103,11,92,11,92,49,10,10.679611650485437,12.604760789822153,10.166599271068282,10.166599271068282,1.731866140511755,-0.13739777925100874,1.5070909640004748,0.06223234810229607,0.38614047316484923,-1.4275734373044524,-0.5861545198594713,True,2.5675771061749932
6e8324fedfc3,103,11,92,11,92,49,10,10.679611650485437,12.604760789822153,10.166599271068282,10.166599271068282,1.731866140511755,-0.13739777925100874,1.5070909640004748,0.06223234810229607,0.38614047316484923,-1.4275734373044524,-0.5861545198594713,True,2.5675771061749932
713fc83a8c17,66,5,61,5,61,40,10,7.575757575757576,12.512074243669314,10.683924600830466,10.683924600830466,2.39898521385832,-0.19173361403862554,1.0255798560384684,0.004532963832355124,0.018022627285267327,-1.3497889803524288,-0.6484289122352345,True,2.682378838206232
ade258308b8d,103,12,91,12,91,49,10,11.650485436893204,12.299110859745348,9.94723863172973,9.94723863172973,1.7174568405869677,-0.13964073177095726,1.6218607727136722,0.07672015044549992,0.4760346684268973,-1.4275734373044524,-0.5861545198594713,True,2.5440933474345044
aa1a30ae2822,81,9,72,9,72,47,10,11.11111111111111,12.285239662972797,9.668808169947615,9.668808169947615,1.5028354340882455,-0.1223285402089248,1.5356549578715997,0.05824523471298301,0.2842086754067246,-0.9740255890947624,-0.48998181808157454,True,2.489005210347626
335ea6511268,81,9,72,9,72,47,10,11.11111111111111,12.285239662972797,9.668808169947615,9.668808169947615,1.5028354340882455,-0.1223285402089248,1.5356549578715997,0.05824523471298301,0.2842086754067246,-0.9740255890947624,-0.48998181808157454,True,2.489005210347626
36c409b98601,103,11,92,11,92,49,10,10.679611650485437,12.276831228600146,10.008394350251123,10.008394350251123,1.7873303087137686,-0.14558563813681807,1.4678819947239305,0.06084227851712808,0.37751534260627667,-1.4275734373044524,-0.637237497556873,True,2.558198223780928
1e05e78be9b6,103,11,92,11,92,49,10,10.679611650485437,12.276831228600146,10.008394350251123,10.008394350251123,1.7873303087137686,-0.14558563813681807,1.4678819947239305,0.06084227851712808,0.37751534260627667,-1.4275734373044524,-0.637237497556873,True,2.558198223780928
9796aab07cd5,103,12,91,12,91,49,10,11.650485436893204,12.256198907672848,9.868492111362974,9.868492111362974,1.6736527451679268,-0.13655561220699153,1.616202053759057,0.07434244884639697,0.46128145970957174,-1.4275734373044524,-0.5621319777373724,True,2.530978205025418
81c1cf0a40aa,103,11,92,11,92,49,10,10.679611650485437,12.175015017193381,9.92595373026724,9.92595373026724,1.7743889619607163,-0.14574018672296912,1.4557083172731216,0.05932214954422056,0.3680832170514891,-1.4275734373044524,-0.6076680759981131,True,2.548473575173865
dcf4c246ec9a,103,12,91,12,91,49,10,11.650485436893204,12.16661136953324,9.8381709238783,9.8381709238783,1.69895451481447,-0.13964073177095726,1.6043883124659215,0.07456453967588854,0.4626594931696701,-1.4275734373044524,-0.5861545198594713,True,2.5309018622966892
af476de65998,100,11,89,11,89,46,10,11.0,12.14692208208064,10.156732323437831,10.156732323437831,2.0428196502605847,-0.1681759079754195,1.501304976436933,0.07503360343054088,0.45200965922012587,-2.339906364559863,-0.9419440065025227,True,2.599632411826663
a8bccd70a27b,100,11,89,11,89,46,10,11.0,12.14692208208064,10.156732323437831,10.156732323437831,2.0428196502605847,-0.1681759079754195,1.501304976436933,0.07503360343054088,0.45200965922012587,-2.339906364559863,-0.9419440065025227,True,2.599632411826663
4177466e0113,100,11,89,11,89,46,10,11.0,12.14692208208064,10.156732323437831,10.156732323437831,2.0428196502605847,-0.1681759079754195,1.501304976436933,0.07503360343054088,0.45200965922012587,-2.339906364559863,-0.9419440065025227,True,2.599632411826663
3418ac78b36c,100,11,89,11,89,46,10,11.0,12.14692208208064,10.156732323437831,10.156732323437831,2.0428196502605847,-0.1681759079754195,1.501304976436933,0.07503360343054088,0.45200965922012587,-2.339906364559863,-0.9419440065025227,True,2.599632411826663
e5bc2d5f0016,103,11,92,11,92,49,10,10.679611650485437,12.13732658011188,9.8946989560464,9.8946989560464,1.7688962421031615,-0.14574018672296912,1.4512020911003334,0.058735548394384586,0.364443462929013,-1.4275734373044524,-0.6076680759981131,True,2.544699742865812
16574b98f220,88,12,76,12,76,46,10,13.636363636363637,12.073136084269384,9.797314249984996,9.797314249984996,1.7183785082061986,-0.1423307495427927,1.9062846448846398,0.1114023310593425,0.5905665742904901,-1.2070058742988388,-0.6171869922088228,True,2.5290139517824834
4c462d735ab7,109,12,97,12,97,54,10,11.009174311926605,12.067128859424296,9.813879897609421,9.813879897609421,1.7373909994795176,-0.14397716471906524,1.492840683640119,0.06314593592665027,0.4146329527713782,-1.6999549364270172,-0.5861545198594713,True,2.532904048316789
cb69c25a01d3,88,11,77,11,77,45,9,12.5,12.046358617165913,9.88570204894607,9.88570204894607,1.820739204138243,-0.15114436337165923,1.7209083738808448,0.09534108256707852,0.5054226063796934,-1.4275734373044524,-0.6273705735822176,True,2.549567426806069
c3b97e50c374,104,12,92,12,92,49,10,11.538461538461538,12.012923818709272,9.707316842037331,9.707316842037331,1.6736527451679268,-0.1393210154684684,1.566903106788166,0.06986826460496179,0.43772888668168825,-1.4275734373044524,-0.5861545198594713,True,2.5145110529591075
f734410f8aca,103,12,91,12,91,49,10,11.650485436893204,11.985419468533724,9.689021781556132,9.689021781556132,1.6736527451679268,-0.13964073177095726,1.58049487497148,0.07161676068794177,0.4443690572806028,-1.4275734373044524,-0.5861545198594713,True,2.512624607660152
f390b32c096a,103,12,91,12,91,49,10,11.650485436893204,11.985419468533724,9.689021781556132,9.689021781556132,1.6736527451679268,-0.13964073177095726,1.58049487497148,0.07161676068794177,0.4443690572806028,-1.4275734373044524,-0.5861545198594713,True,2.512624607660152
f1ddf746a47c,103,12,91,12,91,49,10,11.650485436893204,11.985419468533724,9.689021781556132,9.689021781556132,1.6736527451679268,-0.13964073177095726,1.58049487497148,0.07161676068794177,0.4443690572806028,-1.4275734373044524,-0.5861545198594713,True,2.512624607660152
de68fca71410,103,12,91,12,91,49,10,11.650485436893204,11.985419468533724,9.689021781556132,9.689021781556132,1.6736527451679268,-0.13964073177095726,1.58049487497148,0.07161676068794177,0.4443690572806028,-1.4275734373044524,-0.5861545198594713,True,2.512624607660152
d5ce07249869,103,12,91,12,91,49,10,11.650485436893204,11.985419468533724,9.689021781556132,9.689021781556132,1.6736527451679268,-0.13964073177095726,1.58049487497148,0.07161676068794177,0.4443690572806028,-1.4275734373044524,-0.5861545198594713,True,2.512624607660152
d4bd6dac372b,103,12,91,12,91,49,10,11.650485436893204,11.985419468533724,9.689021781556132,9.689021781556132,1.6736527451679268,-0.13964073177095726,1.58049487497148,0.07161676068794177,0.4443690572806028,-1.4275734373044524,-0.5861545198594713,True,2.512624607660152
d40a67405311,103,12,91,12,91,49,10,11.650485436893204,11.985419468533724,9.689021781556132,9.689021781556132,1.6736527451679268,-0.13964073177095726,1.58049487497148,0.07161676068794177,0.4443690572806028,-1.4275734373044524,-0.5861545198594713,True,2.512624607660152
c546d4fbe073,103,12,91,12,91,49,10,11.650485436893204,11.985419468533724,9.689021781556132,9.689021781556132,1.6736527451679268,-0.13964073177095726,1.58049487497148,0.07161676068794177,0.4443690572806028,-1.4275734373044524,-0.5861545198594713,True,2.512624607660152
c4fe4f725cb7,103,12,91,12,91,49,10,11.650485436893204,11.985419468533724,9.689021781556132,9.689021781556132,1.6736527451679268,-0.13964073177095726,1.58049487497148,0.07161676068794177,0.4443690572806028,-1.4275734373044524,-0.5861545198594713,True,2.512624607660152
be3cd91d1041,103,12,91,12,91,49,10,11.650485436893204,11.985419468533724,9.689021781556132,9.689021781556132,1.6736527451679268,-0.13964073177095726,1.58049487497148,0.07161676068794177,0.4443690572806028,-1.4275734373044524,-0.5861545198594713,True,2.512624607660152
bcd79248ec25,103,12,91,12,91,49,10,11.650485436893204,11.985419468533724,9.689021781556132,9.689021781556132,1.6736527451679268,-0.13964073177095726,1.58049487497148,0.07161676068794177,0.4443690572806028,-1.4275734373044524,-0.5861545198594713,True,2.512624607660152
