additional_latency_minutes,period,jobs,trades,trade_rate_pct,cost_bps,win_rate_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,mean_trade_pct,mean_job_bps,mean_gross_points,worst_stream_mdd_pct,p05_pct,cvar05_pct,worst_trade_pct,trim_top1_mean_pct,held_until_flatten_pct,unclosed_after_day_pct
1,fit28,560,23,4.107142857142857,2,21.73913043478261,2.0615944647433637,-0.24896081577088994,8.280798961715238,2.3002219338097882,0.2533338104278609,1.0404781499715716,2.7488131924782606,-0.8752531982465284,-0.7226596596278415,-0.8180698196601385,-0.8752531982465271,-0.08554356595980174,13.043478260869565,0.0
1,validation28,560,25,4.464285714285714,2,20.0,0.591045323487715,-0.3550915558693941,1.6644871265401389,0.4161217816350347,-0.1658641799979722,-0.7404650892766617,-0.7346033308400081,-2.125671239036009,-0.926097295665809,-1.2048775433951593,-1.4778707468840493,-0.24099576458951563,16.0,0.0
1,development56,1120,48,4.285714285714286,2,20.833333333333332,1.3263198941155394,-0.30481910003326057,4.351170559754349,1.1450448841458813,0.03500152374773947,0.15000653034745484,0.9345337532499958,-2.9823194317786683,-0.8932555465438641,-1.1042347351647623,-1.4778707468840493,-0.12826729683116903,14.583333333333334,0.0
1,stress27,540,27,5.0,2,11.11111111111111,0.4200550902127978,-0.10849974405148083,3.8714846185580916,0.48393557731976145,-0.04977142913322767,-0.2488571456661383,-0.0721452320370388,-0.9186242468703143,-0.25396699766456665,-0.5064691796486123,-0.7262716926305594,-0.07916227086610471,11.11111111111111,0.0
1,all83,1660,75,4.518072289156627,2,17.333333333333332,1.1171818624456757,-0.22882451062095877,4.882264838735984,1.0237006919930292,0.004483260710591304,0.02025569598158721,0.5721293185466633,-2.9823194317786683,-0.7951964682255831,-1.0469893509352035,-1.4778707468840493,-0.09962691267110933,13.333333333333334,0.0
2,fit28,560,23,4.107142857142857,2,8.695652173913043,0.4443821396040315,-0.25136197167874413,1.7678972544501634,0.16837116709049174,-0.19086248374111145,-0.7838994867938506,-1.2326431112173974,-1.528524295207212,-0.5770090924982286,-0.8286971383722502,-1.0586135479324708,-0.2389800355492664,4.3478260869565215,0.0
2,validation28,560,25,4.464285714285714,2,28.0,0.39888442413650904,-0.4067506003721023,0.9806609351568328,0.38136814144987946,-0.18117279350969112,-0.8088071138825497,-0.7721544458399978,-1.8104070384417636,-1.087194141909307,-1.2105329610741444,-1.3259330460722538,-0.26221901274949944,12.0,0.0
2,development56,1120,48,4.285714285714286,2,18.75,0.4089950275737363,-0.3230798003064479,1.2659257161413249,0.2921367037249212,-0.18581577007891337,-0.7963533003382001,-0.9928052646666684,-2.849855372192578,-1.057502527990944,-1.1598931566935866,-1.3259330460722538,-0.22729986025603302,8.333333333333332,0.0
2,stress27,540,27,5.0,2,14.814814814814815,0.3303859783582093,-0.09773922586469876,3.3802802859884062,0.5878748323458098,-0.03431326968352719,-0.17156634841763593,-0.020302345592610932,-0.6543379274714378,-0.234353860032149,-0.3531645978281002,-0.4432879064927772,-0.06361288645072462,3.7037037037037033,0.0
2,all83,1660,75,4.518072289156627,2,17.333333333333332,0.3848076278151126,-0.23948571623934745,1.6068082633810492,0.3369114100637684,-0.13127486993657436,-0.5931093521230769,-0.6427042138000078,-2.849855372192578,-1.0522626783302182,-1.1337796688307886,-1.3259330460722538,-0.15688583396606468,6.666666666666667,0.0
