rule,period,direction,scenario,jobs,trades,trade_rate_pct,cost_bps,win_rate_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,mean_trade_pct,mean_job_bps,mean_gross_points,worst_stream_mdd_pct,p05_pct,cvar05_pct,worst_trade_pct,trim_top1_mean_pct,held_until_flatten_pct,unclosed_after_day_pct
previous_frozen_5m,fit28,BOTH_COUNTERFACTUAL,ALL,560,26,4.642857142857143,2,15.384615384615385,3.71719553962112,-0.10915354047680897,34.054740903350584,6.19177107333647,0.47951554876902613,2.2263221907133355,3.6548531209615334,-0.5053340732185108,-0.27232184329472064,-0.3006212835122606,-0.31664840139033795,0.18908136786758523,7.6923076923076925,0.0
previous_frozen_5m,fit28,BOTH_COUNTERFACTUAL,strong_up_trend,102,6,5.882352941176471,2,33.333333333333336,5.0220789735089575,-0.0806419095277837,62.276290367091214,31.138145183545607,1.6202650514844634,9.530970891085078,13.541741093999994,-0.11123790267523193,-0.10765180270651022,-0.11123790267522779,-0.11123790267522779,0.3962440475203456,33.33333333333333,0.0
previous_frozen_5m,fit28,BOTH_COUNTERFACTUAL,strong_down_trend,148,4,2.7027027027027026,2,25.0,4.401424665302899,-0.18771847128670965,23.446944965689788,7.815648321896596,0.9595673128606926,2.593425169893764,5.005081977750017,-0.2845941656341777,-0.2629043208138498,-0.28459416563418327,-0.28459416563418327,-0.18771847128670965,0.0,0.0
previous_frozen_5m,fit28,BOTH_COUNTERFACTUAL,range_chop,140,5,3.5714285714285716,2,20.0,0.4231995461636648,-0.05570180843197071,7.597590779849159,1.8993976949622897,0.04007846248715639,0.14313736602555854,0.19420760619999555,-0.1075948943758731,-0.09661926919592584,-0.10759489437587055,-0.10759489437587055,-0.05570180843197071,0.0,0.0
previous_frozen_5m,fit28,BOTH_COUNTERFACTUAL,gap_up_open,82,5,6.097560975609756,2,20.0,2.303787875712863,-0.10187033000532238,22.614905395835056,5.653726348958764,0.3792613111383146,2.312568970355577,2.0062970991999807,-0.1867405411706491,-0.1422486049983608,-0.1495382138820031,-0.1495382138820031,-0.10187033000532238,20.0,0.0
previous_frozen_5m,fit28,BOTH_COUNTERFACTUAL,gap_down_open,72,4,5.555555555555555,2,25.0,4.401424665302899,-0.10117549719418929,43.50287161777034,14.500957205923445,1.0244745434300828,5.691525241278239,5.143264111500017,-0.1399952001652882,-0.13978082734959726,-0.13999520016529343,-0.13999520016529343,-0.10117549719418929,0.0,0.0
previous_frozen_5m,fit28,BOTH_COUNTERFACTUAL,v_reversal_up,32,1,3.125,2,0.0,,-0.08557608923768166,,0.0,-0.08557608923768166,-0.2674252788677552,-0.20382421099998282,-0.08557608923768223,-0.08557608923768166,-0.08557608923768166,-0.08557608923768166,,0.0,0.0
previous_frozen_5m,fit28,BOTH_COUNTERFACTUAL,v_reversal_down,52,2,3.8461538461538463,2,0.0,,-0.06628006886624638,,0.0,-0.06628006886624638,-0.25492334179325526,-0.32463521700000797,-0.1075948943758731,-0.10346341182490813,-0.10759489437587055,-0.10759489437587055,-0.10759489437587055,0.0,0.0
previous_frozen_5m,fit28,BOTH_COUNTERFACTUAL,late_day_spike,146,11,7.534246575342466,2,18.181818181818183,6.070897368303976,-0.11978766117549292,50.68049003319223,11.262331118487163,1.0057914350935016,7.577880675361997,7.879971825363643,-0.3716675957956106,-0.22832180077781572,-0.31664840139033795,-0.31664840139033795,0.3323335714723464,9.090909090909092,0.0
previous_frozen_5m,fit28,BOTH_COUNTERFACTUAL,high_vol,150,7,4.666666666666667,2,28.571428571428573,6.070897368303976,-0.1091869842246585,55.60092543459901,22.240370173839608,1.656551402212094,7.730573210323106,12.95120352642858,-0.1399952001652882,-0.1395664545339011,-0.13999520016529343,-0.13999520016529343,0.6425816240299347,14.285714285714285,0.0
